1,103,odpt.StationFacility:TokyoMetro.Shibuya.Ginza,1,"2015-01-29 02:07:21.477913","2015-01-29 02:07:21.477913"
2,103,odpt.StationFacility:TokyoMetro.Shibuya,2,"2015-01-29 02:07:21.609917","2015-01-29 02:07:21.609917"
3,73,odpt.StationFacility:Tokyu.NakaMeguro,1,"2015-01-29 02:07:37.550403","2015-01-29 02:07:37.550403"
4,73,odpt.StationFacility:TokyoMetro.NakaMeguro,2,"2015-01-29 02:07:37.678407","2015-01-29 02:07:37.678407"
5,50,odpt.StationFacility:Tobu.KitaSenju,1,"2015-01-29 02:07:43.746592","2015-01-29 02:07:43.746592"
6,50,odpt.StationFacility:TokyoMetro.KitaSenju.Hibiya,2,"2015-01-29 02:07:43.931598","2015-01-29 02:07:43.931598"
7,74,odpt.StationFacility:JR-East.Nakano,1,"2015-01-29 02:07:44.461614","2015-01-29 02:07:44.461614"
8,74,odpt.StationFacility:TokyoMetro.Nakano,2,"2015-01-29 02:07:44.589618","2015-01-29 02:07:44.589618"
9,58,odpt.StationFacility:TokyoMetro.Kudanshita.Tozai,1,"2015-01-29 02:07:48.673742","2015-01-29 02:07:48.673742"
10,58,odpt.StationFacility:TokyoMetro.Kudanshita,2,"2015-01-29 02:07:48.804746","2015-01-29 02:07:48.804746"
11,140,odpt.StationFacility:Odakyu.YoyogiUehara,1,"2015-01-29 02:07:57.504012","2015-01-29 02:07:57.504012"
12,140,odpt.StationFacility:TokyoMetro.YoyogiUehara,2,"2015-01-29 02:07:57.648016","2015-01-29 02:07:57.648016"
13,50,odpt.StationFacility:TokyoMetro.KitaSenju.Chiyoda,1,"2015-01-29 02:08:04.195216","2015-01-29 02:08:04.195216"
14,50,odpt.StationFacility:JR-East.KitaSenju,2,"2015-01-29 02:08:04.328220","2015-01-29 02:08:04.328220"
15,135,odpt.StationFacility:Tobu.Wakoshi,1,"2015-01-29 02:08:06.731293","2015-01-29 02:08:06.731293"
16,135,odpt.StationFacility:TokyoMetro.Wakoshi,2,"2015-01-29 02:08:06.848297","2015-01-29 02:08:06.848297"
17,103,odpt.StationFacility:Tokyu.Shibuya,1,"2015-01-29 02:08:18.672657","2015-01-29 02:08:18.672657"
18,103,odpt.StationFacility:TokyoMetro.Shibuya.HanzomonFukutoshin,2,"2015-01-29 02:08:18.811661","2015-01-29 02:08:18.811661"
19,103,odpt.StationFacility:TokyoMetro.Shibiya,3,"2015-01-29 02:08:18.943665","2015-01-29 02:08:18.943665"
20,58,odpt.StationFacility:TokyoMetro.Kudanshita.Hanzomon,1,"2015-01-29 02:08:20.972727","2015-01-29 02:08:20.972727"
21,58,odpt.StationFacility:TokyoMetro.Kudanshita,2,"2015-01-29 02:08:21.111732","2015-01-29 02:08:21.111732"
22,58,odpt.StationFacility:Toei.Kudanshita,3,"2015-01-29 02:08:21.243736","2015-01-29 02:08:21.243736"
23,61,odpt.StationFacility:Tokyu.Meguro,1,"2015-01-29 02:08:24.351830","2015-01-29 02:08:24.351830"
24,61,odpt.StationFacility:TokyoMetro.Meguro,2,"2015-01-29 02:08:24.478834","2015-01-29 02:08:24.478834"
25,61,odpt.StationFacility:Toei.Meguro,3,"2015-01-29 02:08:24.600838","2015-01-29 02:08:24.600838"
26,135,odpt.StationFacility:Tobu.Wakoshi,1,"2015-01-29 02:08:32.000064","2015-01-29 02:08:32.000064"
27,135,odpt.StationFacility:TokyoMetro.Wakoshi,2,"2015-01-29 02:08:32.139068","2015-01-29 02:08:32.139068"
28,103,odpt.StationFacility:Tokyu.Shibuya,1,"2015-01-29 02:08:41.564355","2015-01-29 02:08:41.564355"
29,103,odpt.StationFacility:TokyoMetro.Shibuya.HanzomonFukutoshin,2,"2015-01-29 02:08:41.714360","2015-01-29 02:08:41.714360"
30,103,odpt.StationFacility:TokyoMetro.Shibiya,3,"2015-01-29 02:08:41.892365","2015-01-29 02:08:41.892365"
31,164,odpt.StationFacility:TokyoMetro.KitaSenju.Chyoda,1,"2015-01-29 02:08:53.428717","2015-01-29 02:08:53.428717"
32,164,odpt.StationFacility:JR-East.KitaSenju,2,"2015-01-29 02:08:53.545721","2015-01-29 02:08:53.545721"
33,165,odpt.StationFacility:TokyoMetro.Ayase,1,"2015-01-29 02:08:54.804759","2015-01-29 02:08:54.804759"
34,165,odpt.StationFacility:JR-East.Ayase,2,"2015-01-29 02:08:54.943763","2015-01-29 02:08:54.943763"
35,249,odpt.StationFacility:Odakyu.Odawara,1,"2015-01-29 02:10:00.696769","2015-01-29 02:10:00.696769"
36,249,odpt.StationFacility:HakoneTozan.Odawara,2,"2015-01-29 02:10:00.824773","2015-01-29 02:10:00.824773"
37,281,odpt.StationFacility:TokyoMetro.Oshiage,1,"2015-01-29 02:10:21.297397","2015-01-29 02:10:21.297397"
38,281,odpt.StationFacility:Tobu.Oshiage,2,"2015-01-29 02:10:21.437401","2015-01-29 02:10:21.437401"
39,382,odpt.StationFacility:TokyoMetro.AkabaneIwabuchi,1,"2015-01-29 02:11:44.197926","2015-01-29 02:11:44.197926"
40,382,odpt.StationFacility:SaitamaRailway.AkabaneIwabuchi,2,"2015-01-29 02:11:44.498935","2015-01-29 02:11:44.498935"
41,390,odpt.StationFacility:TokyoMetro.KotekeMukaihara,1,"2015-01-29 02:11:49.237079","2015-01-29 02:11:49.237079"
42,390,odpt.StationFacility:Seibu.KotekeMukaihara,2,"2015-01-29 02:11:49.352083","2015-01-29 02:11:49.352083"
43,483,odpt.StationFacility:Tokyu.Yokohama,1,"2015-01-29 02:13:20.249855","2015-01-29 02:13:20.249855"
44,483,odpt.StationFacility:Minatomirai.Yokohama,2,"2015-01-29 02:13:20.381859","2015-01-29 02:13:20.381859"
45,495,odpt.StationFacility:Keikyu.Sengakuji,1,"2015-01-29 02:13:27.945090","2015-01-29 02:13:27.945090"
46,495,odpt.StationFacility:Toei.Sengakuji,2,"2015-01-29 02:13:28.063093","2015-01-29 02:13:28.063093"
47,507,odpt.StationFacility:Keisei.Oshiage,1,"2015-01-29 02:13:35.127309","2015-01-29 02:13:35.127309"
48,507,odpt.StationFacility:Toei.Oshiage,2,"2015-01-29 02:13:35.266313","2015-01-29 02:13:35.266313"
49,508,odpt.StationFacility:Tokyu.Meguro,1,"2015-01-29 02:13:36.293344","2015-01-29 02:13:36.293344"
50,508,odpt.StationFacility:TokyoMetro.Meguro,2,"2015-01-29 02:13:36.421348","2015-01-29 02:13:36.421348"
51,508,odpt.StationFacility:Toei.Meguro,3,"2015-01-29 02:13:36.564353","2015-01-29 02:13:36.564353"
52,509,odpt.StationFacility:TokyoMetro.Shirokanedai,1,"2015-01-29 02:13:37.316376","2015-01-29 02:13:37.316376"
53,509,odpt.StationFacility:Toei.Shirokanedai,2,"2015-01-29 02:13:37.456380","2015-01-29 02:13:37.456380"
54,510,odpt.StationFacility:TokyoMetro.ShirokaneTakanawa,1,"2015-01-29 02:13:38.263404","2015-01-29 02:13:38.263404"
55,510,odpt.StationFacility:Toei.ShirokaneTakanawa,2,"2015-01-29 02:13:38.412409","2015-01-29 02:13:38.412409"
56,534,odpt.StationFacility:Keio.Shinjuku.New,1,"2015-01-29 02:13:50.292771","2015-01-29 02:13:50.292771"
57,534,odpt.StationFacility:Toei.Shinjuku,2,"2015-01-29 02:13:50.410775","2015-01-29 02:13:50.410775"
58,538,odpt.StationFacility:Toei.Kudanshita,1,"2015-01-29 02:13:52.911851","2015-01-29 02:13:52.911851"
59,538,odpt.StationFacility:TokyoMetro.Kudanshita.Hanzomon,2,"2015-01-29 02:13:53.040855","2015-01-29 02:13:53.040855"
60,538,odpt.StationFacility:TokyoMetro.Kudanshita,3,"2015-01-29 02:13:53.183860","2015-01-29 02:13:53.183860"
61,534,odpt.StationFacility:Toei.Shinjuku,1,"2015-01-29 02:14:13.383476","2015-01-29 02:14:13.383476"
62,534,odpt.StationFacility:Keio.Shinjuku.New,2,"2015-01-29 02:14:13.544480","2015-01-29 02:14:13.544480"