1,"現在、平常どおり運転しています。","2015-03-29 07:39:29.806853","2015-03-29 07:39:29.806853"
2,"7時20分頃、東武スカイツリーライン 小菅 - 五反野 で行なった車両点検の影響で、遅れが出ています。","2015-03-30 03:42:29.955455","2015-03-30 10:45:32.202127"
3,"7時20分頃、東武スカイツリーライン 小菅 - 五反野 で行なった車両点検の影響で、東武スカイツリーラインとの直通運転を中止しています。
只今、東京メトロ線、都営地下鉄線、JR線、東武線で振替輸送を実施しています。
詳しくは駅係員にお尋ねください。","2015-03-30 03:55:07.513241","2015-03-30 10:45:32.407132"
4,"7時20分頃、東武スカイツリーライン 小菅 - 五反野 で行なった車両点検の影響で、一部の列車に遅れが出ています。","2015-03-30 04:02:26.218911","2015-03-30 10:45:32.521134"
5,"東武スカイツリーライン内での信号トラブルにより、東武スカイツリーラインとの直通運転を中止しています。","2015-03-30 04:57:09.957688","2015-03-30 10:33:04.277224"
6,"7時20分頃、東武スカイツリーライン 小菅 - 五反野 で行なった車両点検の影響で、東武スカイツリーラインとの直通運転を中止しています。","2015-03-30 04:59:36.693264","2015-03-30 10:45:32.642137"
8,"16時54分頃、東急東横線 妙蓮寺 - 白楽 で行なった踏切安全確認の影響で、遅れが出ています。
只今、東京メトロ線、都営地下鉄線、JR線、東急線、東武線、小田急線、京王線、西武線で振替輸送を実施しています。
詳しくは駅係員にお尋ねください。","2015-03-30 09:31:08.113988","2015-03-30 10:45:32.763140"
9,"東武スカイツリーラインで信号トラブルのためダイヤが乱れています。
この影響で東武スカイツリーラインとの直通運転を中止しています。","2015-03-30 10:53:55.844509","2015-03-30 10:53:55.844509"
10,"20時28分頃、西武池袋線 西所沢 - 小手指 での人身事故により、ダイヤが乱れています。
この影響で西武池袋線との直通運転を中止しています。","2015-03-30 13:29:14.799994","2015-03-30 13:29:14.799994"
11,"20時28分頃、西武池袋線 西所沢 - 小手指 での人身事故により、直通運転を中止していましたが、直通運転を再開しました。","2015-03-30 14:20:06.446232","2015-03-30 14:20:06.446232"
12,"20時28分頃、西武池袋線 西所沢 - 小手指 での人身事故により、西武池袋線との直通運転を中止しています。","2015-03-30 14:40:50.882098","2015-03-30 14:40:50.882098"